0	subramaniya siva	bear in	an iyer family
1	bentinck	bear in	buckinghamshire
2	minto	bear in	edinburgh
3	sarojini naidu	bear in	hyderabad
4	sarojini naidu	bear in	west bengal
5	nightangle of india mrs. sarojini naidu	bear in	hyderabad
6	sarojini naidu	bear in	a highly cultured family of hyderabad
7	charles cotton	bear in	dublin
8	son of samuel joseph threlkeld	bear in	england
9	son of samuel joseph threlkeld	bear in	england
10	a t cell-specific transcription factor	play role in	the establishment of the mature t cell phenotype
11	john	bear in	# h
